"Variable","RISK","Studiesdir","nparticipants","B","B_CI","B_CI_original","pFDR_display","QE","QEp_display","I2","tau2","pFDR"
"Phocaeicola","g__Phocaeicola_A_858004","6 (6)",11883,0.00236254210104152,"0.24 (0.11; 0.36)","0.0024 (0.0011; 0.0036)","2.44x10^-03","6.11","0.30","36.94","0.00",0.00243925827354204
"Bacteroides","g__Bacteroides_H","6 (6)",11883,0.00419123878256279,"0.42 (0.32; 0.51)","0.0042 (0.0032; 0.0051)","6.62x10^-16","3.03","0.70","8.03","0.00",6.61642823412165e-16
"Dysosmobacter","g__Dysosmobacter","3 (3)",7303,0.0088313305926324,"0.88 (0.39; 1.38)","0.0088 (0.0039; 0.0138)","3.87x10^-03","7.72","0.02","82.04","0.00",0.0038737299268949
"Blautia","g__Blautia_A_141781","5 (5)",6643,0.00655920741256564,"0.66 (0.46; 0.85)","0.0066 (0.0046; 0.0085)","2.03x10^-09","3.66","0.45","0.00","0.00",2.03297196207452e-09
"Oscillibacter sp. ER4","g__ER4","6 (6)",11883,-0.00441294922042974,"-0.44 (-0.60; -0.28)","-0.0044 (-0.0060; -0.0028)","1.05x10^-06","11.61","0.04","58.25","0.00",1.04709582821213e-06
"Enterocloster","g__Enterocloster","3 (3)",4512,0.0103379876684532,"1.03 (0.70; 1.37)","0.0103 (0.0070; 0.0137)","4.23x10^-08","2.37","0.31","35.30","0.00",4.23302054427022e-08
"Faecousia","g__Faecousia","4 (4)",8165,-0.00284049336517727,"-0.28 (-0.38; -0.19)","-0.0028 (-0.0038; -0.0019)","1.39x10^-07","1.70","0.64","6.30","0.00",1.39123120011511e-07
"Clostridium sp. CAG:273","g__CAG_273","2 (2)",2131,-0.00174810994565177,"-0.17 (-0.28; -0.07)","-0.0017 (-0.0028; -0.0007)","8.87x10^-03","0.81","0.37","0.00","0.00",0.00886855793304237
"Christensenellales sp. SFMI01","g__SFMI01","2 (2)",2131,-0.00548525797793723,"-0.55 (-0.76; -0.34)","-0.0055 (-0.0076; -0.0034)","5.60x10^-06","1.91","0.17","47.62","0.00",5.59688658256701e-06
"Odoribacter","g__Odoribacter_865974","2 (2)",6509,0.00388113334806329,"0.39 (0.25; 0.53)","0.0039 (0.0025; 0.0053)","1.08x10^-06","0.37","0.54","0.00","0.00",1.08222160491446e-06
"Streptococcus","g__Streptococcus","4 (4)",5374,0.00512216635657456,"0.51 (0.26; 0.77)","0.0051 (0.0026; 0.0077)","9.34x10^-04","9.72","0.02","71.24","0.00",0.000934268879279595
"Uniqueness based on Bray-Curtis (ASV)","min_bray_asv","6 (6)",12066,0.0301648726778486,"3.02 (0.78; 5.25)","0.0302 (0.0078; 0.0525)","0.04","10.34","0.07","40.62","0.00",0.0412658026121628
"Shannon (ASV)","shannon_asv","6 (5)",12066,-0.00661822848947835,"-0.66 (-1.16; -0.17)","-0.0066 (-0.0116; -0.0017)","0.04","20.27","1.11x10^-03","82.64","0.00",0.044203475313235
"Shannon (Genus)","shannon_genus","6 (6)",12066,-0.00755818002241396,"-0.76 (-1.22; -0.29)","-0.0076 (-0.0122; -0.0029)","9.34x10^-03","17.27","4.01x10^-03","78.70","0.00",0.00934112632416719
"Simpson (Genus)","simpson_genus","6 (5)",12066,-0.0298807512518873,"-2.99 (-5.28; -0.70)","-0.0299 (-0.0528; -0.0070)","<0.05","14.45","0.01","35.94","0.00",0.0497148829912886
"Limivicinus","g__Limivicinus","2 (2)",2131,-0.00423269078716296,"-0.42 (-0.58; -0.26)","-0.0042 (-0.0058; -0.0026)","3.53x10^-06","0.22","0.64","0.00","0.00",3.53327283966628e-06
"Oscillibacter sp. CAG:83","g__CAG_83","3 (2)",7355,-0.00233084572844957,"-0.23 (-0.36; -0.11)","-0.0023 (-0.0036; -0.0011)","1.87x10^-03","3.05","0.22","32.68","0.00",0.00186977707968532
"Acutalibacter sp. UBA1417","g__UBA1417","2 (2)",2063,-0.0028675546132834,"-0.29 (-0.49; -0.09)","-0.0029 (-0.0049; -0.0009)","0.03","0.43","0.51","0.00","0.00",0.0282019718712092
